                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0096,                0.69889,                 1.0675,                0.93258,                0.94365,                 0.9698,                0.71395,                0.89138,                0.45281,                0.95055,             0.00041443,             0.00041443,             0.00041443
                      2,                0.92794,                0.58177,                 1.0282,                0.93748,                0.93611,                0.96963,                0.69864,                0.92646,                0.49846,                0.97387,             0.00081464,             0.00081464,             0.00081464
                      3,                0.93245,                0.57906,                 1.0248,                0.95141,                 0.9229,                0.97042,                0.69096,                0.95451,                0.49999,                0.98061,              0.0011983,              0.0011983,              0.0011983
                      4,                0.95074,                0.59577,                  1.039,                0.93628,                0.93809,                0.97032,                0.68688,                0.97846,                0.50781,                 1.0096,              0.0011757,              0.0011757,              0.0011757
                      5,                0.93494,                0.58187,                 1.0368,                0.94896,                0.95248,                 0.9749,                0.69103,                0.96386,                  0.484,                0.98596,               0.001151,               0.001151,               0.001151
                      6,                0.93535,                0.58187,                 1.0362,                0.95643,                0.90965,                0.96328,                0.67059,                 1.0178,                0.51011,                 1.0288,              0.0011263,              0.0011263,              0.0011263
                      7,                0.92896,                0.58001,                 1.0333,                0.95061,                0.93855,                0.97326,                0.69485,                0.94926,                 0.4862,                0.97693,              0.0011015,              0.0011015,              0.0011015
                      8,                0.92342,                 0.5754,                 1.0274,                0.96016,                 0.9393,                0.97223,                 0.7196,                0.90295,                  0.461,                0.96303,              0.0010768,              0.0010768,              0.0010768
                      9,                0.90384,                0.56654,                   1.02,                0.92758,                0.95109,                0.97233,                0.70033,                0.94584,                0.48053,                0.97848,               0.001052,               0.001052,               0.001052
                     10,                0.90515,                0.55556,                 1.0257,                0.95989,                0.96376,                0.98377,                0.70978,                0.92148,                0.46184,                0.98099,              0.0010273,              0.0010273,              0.0010273
                     11,                0.88907,                0.54199,                 1.0131,                0.95472,                0.96323,                 0.9775,                0.70906,                0.95003,                0.44943,                 0.9729,              0.0010025,              0.0010025,              0.0010025
