                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.73789,                0.44989,                0.95963,                0.97382,                0.96198,                0.98969,                0.77246,                0.76144,                0.38317,                0.89987,             0.00041554,             0.00041554,             0.00041554
                      2,                 0.7908,                0.48969,                0.97861,                0.95422,                0.95308,                0.97698,                0.72703,                0.82952,                0.42311,                0.94204,             0.00080475,             0.00080475,             0.00080475
                      3,                0.84019,                0.52496,                0.99947,                0.95948,                 0.9762,                0.98075,                0.72827,                0.86401,                0.43706,                0.94271,              0.0011665,              0.0011665,              0.0011665
                      4,                0.87149,                0.54898,                 1.0126,                0.95834,                0.95485,                0.98294,                0.71469,                0.89194,                0.45988,                0.96181,              0.0011263,              0.0011263,              0.0011263
                      5,                0.88486,                0.56597,                 1.0223,                0.97241,                0.94695,                0.98077,                0.72613,                0.87644,                 0.4507,                0.94994,               0.001085,               0.001085,               0.001085
                      6,                0.87403,                0.54929,                 1.0156,                0.97777,                0.95257,                0.97638,                0.72597,                0.88854,                0.44589,                0.96677,              0.0010438,              0.0010438,              0.0010438
                      7,                0.86553,                 0.5502,                 1.0142,                0.95717,                0.94155,                0.97362,                0.72075,                0.90859,                0.46067,                0.97762,              0.0010025,              0.0010025,              0.0010025
                      8,                0.87702,                0.55849,                 1.0172,                0.96282,                0.94995,                0.98096,                0.72365,                0.90576,                0.44651,                0.96558,             0.00096125,             0.00096125,             0.00096125
                      9,                0.87496,                0.55132,                 1.0176,                0.96939,                0.94837,                0.98319,                 0.7075,                0.92696,                0.45582,                0.97613,                0.00092,                0.00092,                0.00092
                     10,                0.86249,                0.55143,                 1.0148,                0.96672,                0.96691,                0.98546,                0.72039,                0.87524,                0.44132,                0.94231,             0.00087875,             0.00087875,             0.00087875
                     11,                0.86221,                0.54013,                 1.0084,                0.95046,                 0.9644,                 0.9832,                0.73201,                0.88633,                0.43246,                0.95292,              0.0008375,              0.0008375,              0.0008375
                     12,                0.84607,                0.53436,                 1.0066,                0.97665,                0.96478,                0.98228,                0.73702,                0.86965,                0.43492,                0.95629,             0.00079625,             0.00079625,             0.00079625
                     13,                0.84653,                0.51963,                0.99685,                0.95352,                0.95678,                0.98189,                0.74319,                0.83294,                0.42751,                0.94313,               0.000755,               0.000755,               0.000755
                     14,                0.82884,                0.52991,                0.99586,                0.97397,                0.95259,                 0.9849,                 0.7526,                0.82511,                0.42316,                0.92828,             0.00071375,             0.00071375,             0.00071375
                     15,                0.80902,                0.51312,                0.98943,                0.97639,                0.95808,                0.98412,                0.75544,                0.80278,                0.41289,                0.92932,              0.0006725,              0.0006725,              0.0006725
                     16,                0.81426,                0.52332,                0.99571,                0.96887,                0.97975,                 0.9873,                0.74599,                0.81791,                0.41706,                0.92468,             0.00063125,             0.00063125,             0.00063125
                     17,                 0.8024,                0.50419,                0.98812,                0.97583,                  0.964,                 0.9824,                0.74319,                0.81417,                0.42006,                0.91798,                0.00059,                0.00059,                0.00059
                     18,                 0.7954,                0.49973,                0.97893,                0.96945,                0.97008,                0.97453,                0.74586,                0.79652,                0.39941,                0.92352,             0.00054875,             0.00054875,             0.00054875
                     19,                0.79098,                0.49831,                0.98006,                0.96206,                0.96705,                0.98422,                0.75837,                0.78754,                0.40635,                0.91595,              0.0005075,              0.0005075,              0.0005075
                     20,                 0.7845,                0.50273,                0.98437,                 0.9673,                0.97427,                 0.9855,                0.76596,                 0.7817,                0.39958,                0.91235,             0.00046625,             0.00046625,             0.00046625
                     21,                0.72384,                0.40252,                0.93165,                0.97085,                 0.9641,                0.98373,                0.76219,                0.77817,                0.38852,                0.91756,               0.000425,               0.000425,               0.000425
                     22,                0.70124,                0.38641,                0.91816,                0.97683,                0.97337,                0.98544,                0.77874,                0.72338,                0.37166,                0.89401,             0.00038375,             0.00038375,             0.00038375
                     23,                0.69267,                0.38395,                0.91809,                0.96341,                0.97506,                0.98508,                0.78309,                0.73383,                0.37529,                0.89886,              0.0003425,              0.0003425,              0.0003425
                     24,                0.67576,                0.37192,                0.91082,                0.97992,                 0.9684,                0.98843,                0.78809,                0.71676,                0.36646,                0.89362,             0.00030125,             0.00030125,             0.00030125
                     25,                0.66255,                0.36587,                0.90265,                0.96561,                0.97849,                 0.9845,                0.79158,                0.70108,                0.36682,                0.88607,                0.00026,                0.00026,                0.00026
                     26,                0.64111,                0.35536,                0.90033,                 0.9718,                0.97739,                  0.989,                0.79825,                0.70426,                0.36024,                0.89078,             0.00021875,             0.00021875,             0.00021875
                     27,                0.62934,                0.34744,                0.89516,                0.97492,                0.97867,                0.98727,                 0.7983,                0.69264,                0.35756,                0.88373,              0.0001775,              0.0001775,              0.0001775
                     28,                0.62723,                0.34828,                0.89426,                0.97723,                0.97444,                0.98672,                0.79834,                0.67379,                0.34675,                0.87652,             0.00013625,             0.00013625,             0.00013625
                     29,                0.60676,                 0.3416,                 0.8862,                0.98502,                0.96602,                0.98694,                 0.8042,                0.66428,                0.34267,                0.87617,                9.5e-05,                9.5e-05,                9.5e-05
                     30,                0.60151,                0.33779,                0.88809,                 0.9753,                 0.9758,                0.98706,                0.80729,                0.66114,                0.33804,                 0.8729,              5.375e-05,              5.375e-05,              5.375e-05
